binary_cross_entropy_loss,training_acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.6165199977250944,0.695557,1784135862,,False,1,15273_00000,2026-07-15_21-17-42,0.37430310249328613,0.37430310249328613,56162,Mac-mini.local,127.0.0.1,0.37430310249328613,1
0.4060741706207041,0.8270573,1784135862,,False,2,15273_00000,2026-07-15_21-17-42,0.010106086730957031,0.38440918922424316,56162,Mac-mini.local,127.0.0.1,0.38440918922424316,2
0.35274699725200276,0.8738794,1784135862,,False,3,15273_00000,2026-07-15_21-17-42,0.010477066040039062,0.3948862552642822,56162,Mac-mini.local,127.0.0.1,0.3948862552642822,3
0.3243657805264578,0.8655112,1784135862,,False,4,15273_00000,2026-07-15_21-17-42,0.010294198989868164,0.4051804542541504,56162,Mac-mini.local,127.0.0.1,0.4051804542541504,4
0.30624019602934516,0.8800559,1784135862,checkpoint_000000,False,5,15273_00000,2026-07-15_21-17-42,0.01120305061340332,0.4163835048675537,56162,Mac-mini.local,127.0.0.1,0.4163835048675537,5
0.2931267750479354,0.8780635,1784135862,,False,6,15273_00000,2026-07-15_21-17-42,0.010551929473876953,0.42693543434143066,56162,Mac-mini.local,127.0.0.1,0.42693543434143066,6
0.28267974574300697,0.88503706,1784135862,,False,7,15273_00000,2026-07-15_21-17-42,0.010145902633666992,0.43708133697509766,56162,Mac-mini.local,127.0.0.1,0.43708133697509766,7
0.27180435736059644,0.88224775,1784135862,,False,8,15273_00000,2026-07-15_21-17-42,0.010325193405151367,0.447406530380249,56162,Mac-mini.local,127.0.0.1,0.447406530380249,8
0.2626477856308513,0.89480025,1784135862,,False,9,15273_00000,2026-07-15_21-17-42,0.009956121444702148,0.45736265182495117,56162,Mac-mini.local,127.0.0.1,0.45736265182495117,9
0.25213745473319016,0.91073936,1784135862,checkpoint_000001,False,10,15273_00000,2026-07-15_21-17-42,0.010316848754882812,0.467679500579834,56162,Mac-mini.local,127.0.0.1,0.467679500579834,10
0.24208017914572852,0.9232918,1784135862,,False,11,15273_00000,2026-07-15_21-17-42,0.010039091110229492,0.4777185916900635,56162,Mac-mini.local,127.0.0.1,0.4777185916900635,11
0.23673879447674984,0.919307,1784135862,,False,12,15273_00000,2026-07-15_21-17-42,0.009984016418457031,0.4877026081085205,56162,Mac-mini.local,127.0.0.1,0.4877026081085205,12
0.22643788809910145,0.91910756,1784135862,,False,13,15273_00000,2026-07-15_21-17-42,0.0099639892578125,0.497666597366333,56162,Mac-mini.local,127.0.0.1,0.497666597366333,13
0.22011229490427459,0.92707735,1784135862,,False,14,15273_00000,2026-07-15_21-17-42,0.010059118270874023,0.507725715637207,56162,Mac-mini.local,127.0.0.1,0.507725715637207,14
0.20794179521740064,0.9372386,1784135862,checkpoint_000002,False,15,15273_00000,2026-07-15_21-17-42,0.01090693473815918,0.5186326503753662,56162,Mac-mini.local,127.0.0.1,0.5186326503753662,15
0.20088115044592814,0.93803567,1784135862,,False,16,15273_00000,2026-07-15_21-17-42,0.010591983795166016,0.5292246341705322,56162,Mac-mini.local,127.0.0.1,0.5292246341705322,16
0.19264891800812264,0.94222,1784135862,,False,17,15273_00000,2026-07-15_21-17-42,0.010040760040283203,0.5392653942108154,56162,Mac-mini.local,127.0.0.1,0.5392653942108154,17
0.1850793930614884,0.9428175,1784135862,,False,18,15273_00000,2026-07-15_21-17-42,0.010258913040161133,0.5495243072509766,56162,Mac-mini.local,127.0.0.1,0.5495243072509766,18
0.17969807108534264,0.9428174,1784135862,,False,19,15273_00000,2026-07-15_21-17-42,0.009725093841552734,0.5592494010925293,56162,Mac-mini.local,127.0.0.1,0.5592494010925293,19
0.17306423156341663,0.94142276,1784135862,checkpoint_000003,False,20,15273_00000,2026-07-15_21-17-42,0.01034092903137207,0.5695903301239014,56162,Mac-mini.local,127.0.0.1,0.5695903301239014,20
0.16936776047699786,0.94361454,1784135862,,False,21,15273_00000,2026-07-15_21-17-42,0.010425806045532227,0.5800161361694336,56162,Mac-mini.local,127.0.0.1,0.5800161361694336,21
0.16150565929658908,0.9442123,1784135862,,False,22,15273_00000,2026-07-15_21-17-42,0.009797811508178711,0.5898139476776123,56162,Mac-mini.local,127.0.0.1,0.5898139476776123,22
0.15848146047510694,0.94779843,1784135862,,False,23,15273_00000,2026-07-15_21-17-42,0.010079145431518555,0.5998930931091309,56162,Mac-mini.local,127.0.0.1,0.5998930931091309,23
0.15595354821735594,0.9428175,1784135862,,False,24,15273_00000,2026-07-15_21-17-42,0.00989532470703125,0.6097884178161621,56162,Mac-mini.local,127.0.0.1,0.6097884178161621,24
0.1526682503064224,0.9505879,1784135862,checkpoint_000004,False,25,15273_00000,2026-07-15_21-17-42,0.010653972625732422,0.6204423904418945,56162,Mac-mini.local,127.0.0.1,0.6204423904418945,25
0.1464711605977771,0.95397496,1784135862,,False,26,15273_00000,2026-07-15_21-17-42,0.00998997688293457,0.6304323673248291,56162,Mac-mini.local,127.0.0.1,0.6304323673248291,26
0.1431003319180078,0.94839656,1784135862,,False,27,15273_00000,2026-07-15_21-17-42,0.00962209701538086,0.64005446434021,56162,Mac-mini.local,127.0.0.1,0.64005446434021,27
0.14124475196107827,0.9450091,1784135862,,False,28,15273_00000,2026-07-15_21-17-42,0.00984501838684082,0.6498994827270508,56162,Mac-mini.local,127.0.0.1,0.6498994827270508,28
0.13660571522324902,0.95676464,1784135862,,False,29,15273_00000,2026-07-15_21-17-42,0.009878158569335938,0.6597776412963867,56162,Mac-mini.local,127.0.0.1,0.6597776412963867,29
0.13221197942144533,0.949791,1784135862,checkpoint_000005,False,30,15273_00000,2026-07-15_21-17-42,0.010514020919799805,0.6702916622161865,56162,Mac-mini.local,127.0.0.1,0.6702916622161865,30
0.12942127588580427,0.9595539,1784135862,,False,31,15273_00000,2026-07-15_21-17-42,0.010099172592163086,0.6803908348083496,56162,Mac-mini.local,127.0.0.1,0.6803908348083496,31
0.12777121919447573,0.95676464,1784135862,,False,32,15273_00000,2026-07-15_21-17-42,0.00998997688293457,0.6903808116912842,56162,Mac-mini.local,127.0.0.1,0.6903808116912842,32
0.1259825691045619,0.9567645,1784135862,,False,33,15273_00000,2026-07-15_21-17-42,0.009552001953125,0.6999328136444092,56162,Mac-mini.local,127.0.0.1,0.6999328136444092,33
0.12240486711814397,0.959554,1784135862,,False,34,15273_00000,2026-07-15_21-17-42,0.009840965270996094,0.7097737789154053,56162,Mac-mini.local,127.0.0.1,0.7097737789154053,34
0.1177669463177813,0.963738,1784135862,checkpoint_000006,False,35,15273_00000,2026-07-15_21-17-42,0.01034688949584961,0.7201206684112549,56162,Mac-mini.local,127.0.0.1,0.7201206684112549,35
0.11551067646627926,0.96373814,1784135862,,False,36,15273_00000,2026-07-15_21-17-42,0.009879112243652344,0.7299997806549072,56162,Mac-mini.local,127.0.0.1,0.7299997806549072,36
0.11319328708680687,0.9665274,1784135862,,False,37,15273_00000,2026-07-15_21-17-42,0.009739875793457031,0.7397396564483643,56162,Mac-mini.local,127.0.0.1,0.7397396564483643,37
0.11175965060281204,0.97011364,1784135862,,False,38,15273_00000,2026-07-15_21-17-42,0.00973367691040039,0.7494733333587646,56162,Mac-mini.local,127.0.0.1,0.7494733333587646,38
0.10921773719607827,0.9776849,1784135862,,False,39,15273_00000,2026-07-15_21-17-42,0.009965181350708008,0.7594385147094727,56162,Mac-mini.local,127.0.0.1,0.7594385147094727,39
0.1050934880209445,0.9762902,1784135862,checkpoint_000007,False,40,15273_00000,2026-07-15_21-17-42,0.010304927825927734,0.7697434425354004,56162,Mac-mini.local,127.0.0.1,0.7697434425354004,40
0.10673962987769743,0.9790796,1784135862,,False,41,15273_00000,2026-07-15_21-17-42,0.010190248489379883,0.7799336910247803,56162,Mac-mini.local,127.0.0.1,0.7799336910247803,41
0.10252259535301929,0.97907984,1784135862,,False,42,15273_00000,2026-07-15_21-17-42,0.010202169418334961,0.7901358604431152,56162,Mac-mini.local,127.0.0.1,0.7901358604431152,42
0.0985488139912538,0.97629035,1784135862,,False,43,15273_00000,2026-07-15_21-17-42,0.010308265686035156,0.8004441261291504,56162,Mac-mini.local,127.0.0.1,0.8004441261291504,43
0.09831657855299976,0.9762902,1784135862,,False,44,15273_00000,2026-07-15_21-17-42,0.01009511947631836,0.8105392456054688,56162,Mac-mini.local,127.0.0.1,0.8105392456054688,44
0.0963243255729435,0.9804744,1784135862,checkpoint_000008,False,45,15273_00000,2026-07-15_21-17-42,0.010609865188598633,0.8211491107940674,56162,Mac-mini.local,127.0.0.1,0.8211491107940674,45
0.09537603447637215,0.98186916,1784135862,,False,46,15273_00000,2026-07-15_21-17-42,0.010072946548461914,0.8312220573425293,56162,Mac-mini.local,127.0.0.1,0.8312220573425293,46
0.09174433679708294,0.9860531,1784135862,,False,47,15273_00000,2026-07-15_21-17-42,0.00990605354309082,0.8411281108856201,56162,Mac-mini.local,127.0.0.1,0.8411281108856201,47
0.08948318696628886,0.9874479,1784135862,,False,48,15273_00000,2026-07-15_21-17-42,0.010004758834838867,0.851132869720459,56162,Mac-mini.local,127.0.0.1,0.851132869720459,48
0.08953236247870078,0.98465854,1784135862,,False,49,15273_00000,2026-07-15_21-17-42,0.010107994079589844,0.8612408638000488,56162,Mac-mini.local,127.0.0.1,0.8612408638000488,49
0.08540121421173755,0.9874478,1784135862,checkpoint_000009,False,50,15273_00000,2026-07-15_21-17-42,0.01061391830444336,0.8718547821044922,56162,Mac-mini.local,127.0.0.1,0.8718547821044922,50
0.08770584660053585,0.9804743,1784135862,,False,51,15273_00000,2026-07-15_21-17-42,0.01028299331665039,0.8821377754211426,56162,Mac-mini.local,127.0.0.1,0.8821377754211426,51
0.08304301908952827,0.9860532,1784135862,,False,52,15273_00000,2026-07-15_21-17-42,0.010085105895996094,0.8922228813171387,56162,Mac-mini.local,127.0.0.1,0.8922228813171387,52
0.07974433079439851,0.99023724,1784135862,,False,53,15273_00000,2026-07-15_21-17-42,0.009704828262329102,0.9019277095794678,56162,Mac-mini.local,127.0.0.1,0.9019277095794678,53
0.0788743859884359,0.9860531,1784135862,,False,54,15273_00000,2026-07-15_21-17-42,0.010364055633544922,0.9122917652130127,56162,Mac-mini.local,127.0.0.1,0.9122917652130127,54
0.07762424805626335,0.9860531,1784135862,checkpoint_000010,False,55,15273_00000,2026-07-15_21-17-42,0.010203123092651367,0.9224948883056641,56162,Mac-mini.local,127.0.0.1,0.9224948883056641,55
0.07512229466499082,0.99023724,1784135862,,False,56,15273_00000,2026-07-15_21-17-42,0.009962081909179688,0.9324569702148438,56162,Mac-mini.local,127.0.0.1,0.9324569702148438,56
0.07457422921265186,0.98884255,1784135862,,False,57,15273_00000,2026-07-15_21-17-42,0.00962209701538086,0.9420790672302246,56162,Mac-mini.local,127.0.0.1,0.9420790672302246,57
0.07418639295457796,0.98824465,1784135862,,False,58,15273_00000,2026-07-15_21-17-42,0.009832382202148438,0.951911449432373,56162,Mac-mini.local,127.0.0.1,0.951911449432373,58
0.0702721534577436,0.99442136,1784135862,,False,59,15273_00000,2026-07-15_21-17-42,0.010213851928710938,0.962125301361084,56162,Mac-mini.local,127.0.0.1,0.962125301361084,59
0.0704519337545197,0.98963946,1784135862,checkpoint_000011,False,60,15273_00000,2026-07-15_21-17-42,0.010385990142822266,0.9725112915039062,56162,Mac-mini.local,127.0.0.1,0.9725112915039062,60
0.06698858768989642,0.9902371,1784135862,,False,61,15273_00000,2026-07-15_21-17-42,0.010144948959350586,0.9826562404632568,56162,Mac-mini.local,127.0.0.1,0.9826562404632568,61
0.06426302188451466,0.9972106,1784135862,,False,62,15273_00000,2026-07-15_21-17-42,0.009763002395629883,0.9924192428588867,56162,Mac-mini.local,127.0.0.1,0.9924192428588867,62
0.06504261127778302,0.99581605,1784135862,,False,63,15273_00000,2026-07-15_21-17-42,0.010344982147216797,1.0027642250061035,56162,Mac-mini.local,127.0.0.1,1.0027642250061035,63
0.0638203806116543,0.9902371,1784135862,,False,64,15273_00000,2026-07-15_21-17-42,0.010065793991088867,1.0128300189971924,56162,Mac-mini.local,127.0.0.1,1.0128300189971924,64
0.06113524775370186,0.995816,1784135862,checkpoint_000012,False,65,15273_00000,2026-07-15_21-17-42,0.010324954986572266,1.0231549739837646,56162,Mac-mini.local,127.0.0.1,1.0231549739837646,65
0.06100997553145931,0.99163204,1784135862,,False,66,15273_00000,2026-07-15_21-17-42,0.009931087493896484,1.0330860614776611,56162,Mac-mini.local,127.0.0.1,1.0330860614776611,66
0.05760540013140485,0.9930266,1784135862,,False,67,15273_00000,2026-07-15_21-17-42,0.00983428955078125,1.0429203510284424,56162,Mac-mini.local,127.0.0.1,1.0429203510284424,67
0.058517840694482834,0.9916319,1784135862,,False,68,15273_00000,2026-07-15_21-17-42,0.009944677352905273,1.0528650283813477,56162,Mac-mini.local,127.0.0.1,1.0528650283813477,68
0.05512272175323514,0.995816,1784135862,,False,69,15273_00000,2026-07-15_21-17-42,0.009762048721313477,1.0626270771026611,56162,Mac-mini.local,127.0.0.1,1.0626270771026611,69
0.05513192666889359,0.99521816,1784135862,checkpoint_000013,False,70,15273_00000,2026-07-15_21-17-42,0.010324954986572266,1.0729520320892334,56162,Mac-mini.local,127.0.0.1,1.0729520320892334,70
0.05322821306472584,0.9986053,1784135862,,False,71,15273_00000,2026-07-15_21-17-42,0.00984501838684082,1.0827970504760742,56162,Mac-mini.local,127.0.0.1,1.0827970504760742,71
0.050700562911931646,0.995816,1784135862,,False,72,15273_00000,2026-07-15_21-17-42,0.009891748428344727,1.092688798904419,56162,Mac-mini.local,127.0.0.1,1.092688798904419,72
